LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_AMT1,BILL_AMT1,PAY_1,PAY_AMT2,BILL_AMT2,PAY_2,PAY_AMT3,BILL_AMT3,PAY_3,PAY_AMT4,BILL_AMT4,PAY_4,PAY_AMT5,BILL_AMT5,PAY_5,PAY_AMT6,BILL_AMT6,PAY_6,default
94637,2,2,1,46,3934,43171,2,1034,59397,-1,2578,19575,3,7592,5463,1,1133,82930,1,3668,44860,1,0
15023,1,3,2,31,4028,27790,1,17074,25308,6,27183,44021,1,165,23366,3,425,67361,0,707,114104,3,1
34551,1,3,2,37,1288,83160,0,4370,43291,1,1192,58290,-1,1342,43680,1,2185,50558,0,6526,11796,0,0
45627,1,4,1,21,6222,18847,3,10128,36214,0,300,2348,-1,704,21612,-1,290,32090,-1,500,34321,0,0
60893,1,2,1,39,6600,68012,0,1088,53792,-1,19536,40524,4,2578,31632,7,10749,32697,1,1054,40171,1,0
153793,1,3,2,37,106,44395,3,8304,84172,0,1397,6936,-1,11237,37454,3,1042,44011,8,10437,65454,1,0
22273,1,3,1,35,2518,56135,2,2678,54169,-1,5043,53349,0,2338,82420,3,760,37793,3,3813,34850,1,0
72202,1,3,1,45,11042,54920,0,978,26596,0,2346,41719,1,4623,13877,1,7750,74007,1,22626,62997,1,0
89750,1,3,2,22,3673,-4364,0,7161,38431,7,5103,32524,0,11420,44713,6,6231,21259,0,827,28767,4,1
4756,2,2,1,51,2135,39768,0,7177,68038,0,4532,8661,0,2229,19503,1,293,50114,0,403,49482,0,0
93533,1,1,1,44,1462,34755,0,27469,11826,1,6142,28027,3,2276,18753,2,3562,-36,0,394,57708,-1,0
18696,2,2,2,34,1394,17340,0,7591,27698,0,93,50383,0,460,22499,0,2978,47543,1,13693,28069,-1,0
6726,1,2,1,33,525,49192,2,784,54199,3,9045,39180,-1,2146,36869,0,2445,57438,2,5153,55854,1,0
297368,2,3,1,39,8497,74330,1,1947,65886,1,3256,63850,2,6855,68676,1,677,68807,0,2055,69147,4,0
337063,1,4,1,50,453,-13460,1,3004,52179,0,3657,62555,7,9309,63496,1,7740,28170,0,2423,38505,2,0
165233,1,4,2,36,1728,29310,2,677,27866,4,2646,61705,3,6414,30836,3,1371,25759,0,6022,20808,1,0
36328,1,4,2,36,233,15084,3,7756,50730,3,22726,29244,1,34,34670,0,3064,60466,0,4794,34337,2,0
10277,2,2,2,35,7602,41435,5,3740,48285,7,8086,45899,1,622,51826,3,10645,63899,1,2198,38747,0,1
115275,2,3,1,52,200,33487,0,14452,47016,-1,1865,20695,5,6564,41153,4,1915,35458,0,5856,59741,0,0
58009,2,2,1,31,1843,27886,1,4449,38058,1,7640,14801,3,14270,27267,3,181,810,0,2097,22597,3,0
13015,2,2,1,34,4258,53790,-1,3700,41059,8,2872,63637,1,5943,53228,2,10997,18824,0,3010,53389,-1,0
68354,1,1,1,49,2634,72723,0,370,21850,3,10201,16269,4,1281,72419,3,3405,38150,1,9512,51738,0,0
3499,1,3,3,36,1658,93226,2,808,89604,3,156,14120,2,568,61168,4,3436,11639,0,629,50062,7,1
240042,1,6,1,46,1609,25207,1,9469,43139,2,2195,42103,8,10478,67131,1,4008,54574,0,2832,64695,2,0
29945,2,2,1,25,7992,3582,3,23375,50970,2,2809,34586,4,521,37212,3,991,24546,-1,482,45842,2,0
108625,1,1,1,32,18244,51183,1,2682,35641,3,6817,36315,1,818,18347,1,6274,38552,0,197,29354,0,0
37354,2,4,2,49,2138,72209,0,8305,56906,-1,1006,86113,5,4540,-5,1,1315,61895,3,16917,39302,0,0
73411,2,2,2,28,199,56273,4,4938,14031,2,1686,20110,0,1053,-1439,-1,1791,47352,0,4133,41412,2,0
79122,2,4,2,33,186,72126,-1,15978,5087,3,6434,49900,2,1291,35933,4,4987,78887,1,18883,30470,1,0
20438,2,4,2,37,7119,35490,0,1359,39390,-1,399,41733,0,767,50136,0,6926,67955,1,9790,11306,0,0
349280,2,5,1,25,4018,27808,0,3935,81081,0,1122,60186,4,14441,56861,0,6558,19222,0,21094,42648,4,0
149224,1,3,1,30,7652,42308,8,2627,64166,0,6999,24284,0,667,44861,0,434,51858,3,13637,45147,0,0
280509,2,3,1,36,5978,33388,1,3901,23831,4,10418,35510,6,13392,25567,0,7023,43058,6,10570,39258,0,1
225215,2,3,2,35,11903,53261,1,1565,50321,3,6525,42282,-1,1974,53089,5,5434,63743,0,6441,41081,0,0
91105,1,3,2,47,10850,59395,3,3443,27280,2,3744,11323,2,8617,16036,8,4645,50467,3,6633,22145,0,1
254943,2,3,2,50,7763,60961,2,4901,48528,3,521,3888,0,14978,17925,4,17037,30005,3,14297,-7904,2,0
9265,2,2,2,26,3223,50211,3,423,50087,1,8778,39584,3,3662,52258,0,2129,49521,3,18863,34920,0,0
21813,1,3,2,36,1841,44916,1,6793,58529,4,662,66752,1,7352,15336,-1,5745,32619,1,14414,13294,0,0
4628,1,3,2,41,3536,55888,8,6129,8686,0,2431,32955,5,1546,24694,0,4257,27074,2,3300,47327,-1,1
39353,1,4,2,50,3486,740,3,10620,14688,2,259,35698,2,2414,20446,3,2454,37773,0,10475,18619,0,0
49213,2,4,2,42,4711,44211,1,2774,38488,0,6183,63014,3,4025,43382,0,7761,44975,7,3569,39127,5,1
31656,1,3,1,37,1029,41049,0,318,19351,-1,3500,37023,0,9500,51764,4,2580,66004,2,4153,34111,2,0
176455,1,2,2,41,5330,44261,5,3094,17805,0,11908,55538,-1,4847,52279,3,4088,30066,-1,8687,25254,1,0
44122,1,4,3,41,3049,38247,2,740,45437,1,746,93329,4,111,28393,0,4112,1666,4,8862,60050,1,0
32980,2,3,1,25,4840,48637,2,5212,21679,3,8550,28458,0,1817,36643,2,3580,36059,7,8681,17284,2,1
78240,1,4,2,36,1369,28507,3,241,85153,1,3573,36458,4,10011,54701,1,3056,45127,0,8812,-7085,0,0
15189,2,5,2,49,2849,62590,1,2341,29336,0,2279,47924,0,1373,29392,0,918,43647,1,2783,15610,-1,0
162048,2,1,1,32,1179,49472,0,432,34595,8,5158,69832,0,2293,21741,1,1377,34925,8,3780,70547,1,1
7747,1,4,2,36,10409,43013,0,16,45950,0,7813,37697,5,2468,27168,3,659,58992,1,1456,34619,5,0
433414,2,1,1,32,3346,26049,1,16164,9840,8,2901,54585,3,838,27842,5,6427,46246,2,3112,61703,1,1
147948,2,2,3,21,1274,56306,-1,27769,50170,6,1325,46957,-1,2152,40613,-1,6818,52060,1,16184,39698,4,0
22153,1,3,2,35,210,44133,1,4054,46829,1,12372,38555,1,8502,39462,1,5087,3260,-1,8479,64067,0,0
553,2,2,1,38,5631,24890,3,1365,33013,-1,1877,31591,5,9455,36651,2,12483,36526,1,2252,23553,0,1
168989,1,4,1,29,1208,38866,0,12101,45478,2,31702,27815,-1,4348,23998,0,1539,37216,3,5010,45694,2,0
122709,2,1,2,23,22821,52581,-1,12822,48565,3,7290,101310,0,5677,21354,0,8602,73678,-1,1461,55927,-1,0
130566,2,2,1,26,3814,51031,3,9638,68703,1,5820,9179,2,3823,52983,3,1027,37875,1,1160,14674,0,0
147521,1,3,1,42,1705,49740,2,3930,90005,0,62,11074,0,226,46862,3,351,26796,3,2702,19411,0,0
7692,1,4,2,54,5360,41850,0,388,18769,3,2975,44894,1,5964,31303,2,0,25622,0,942,34988,1,0
44389,2,5,1,48,1609,60516,3,462,14053,1,3490,44065,1,28348,38862,4,4345,59584,8,4045,49542,4,1
12315,2,4,1,21,8581,64755,2,11346,42054,0,2361,48527,4,1292,64242,1,7542,28390,0,2765,24125,-1,0
198852,1,3,2,43,1842,54746,0,10430,-1578,6,812,22509,7,20129,38561,3,8657,22941,3,743,62782,-1,1
97630,2,2,3,28,22218,28250,0,2849,52988,6,2289,19470,1,30536,39874,-1,3180,58334,0,6027,59059,2,0
40181,2,1,2,29,4646,18838,0,1988,42261,0,389,34290,1,762,70547,8,302,47838,0,6382,38746,0,0
6566,2,2,2,30,9302,29121,3,5165,47345,-1,1718,58152,2,13027,61406,5,182,35277,2,11056,48930,4,1
37248,2,3,1,42,378,79073,1,8225,33928,2,436,19645,0,5627,27183,3,12465,13447,-1,6226,54603,1,0
39331,1,3,1,44,2140,45633,1,6577,45100,0,6980,43022,6,3140,61407,1,487,51085,-1,1224,57041,-1,0
130787,1,3,1,34,6687,82528,4,4780,49444,-1,5560,29754,-1,2113,36601,1,7677,56538,0,5438,50038,-1,0
101488,1,4,2,34,5321,37596,-1,1316,44000,4,14061,9510,-1,4968,18987,0,360,20934,0,18712,28349,1,0
218225,1,3,3,39,1079,34823,-1,1522,13098,8,2389,14371,2,9250,66083,-1,1012,47296,-1,9566,7052,0,0
63906,1,1,2,40,2201,38518,0,6437,43440,0,7713,58206,0,173,25809,0,888,37986,8,2844,43184,1,0
12737,1,2,2,46,1528,38156,-1,8113,77079,2,4428,27923,0,3833,29800,0,1622,22318,0,5954,64950,1,0
124912,2,4,2,22,4751,24526,2,617,44817,-1,5193,64876,0,5252,32373,1,2601,31116,2,81,66610,2,0
143039,1,4,1,35,2112,17023,2,1036,42741,0,3964,39255,1,129,80739,0,666,39058,0,1235,46376,5,0
82388,2,4,1,24,1848,50026,0,5704,71200,0,7551,12643,3,10994,20960,0,18089,13633,8,2546,30882,3,0
147388,2,2,1,34,1162,61098,0,2463,25087,-1,214,49543,2,15160,27947,-1,10,51416,0,2644,58453,1,0
68081,2,6,1,32,2629,88899,0,4142,57793,1,419,23973,-1,4740,33154,1,7394,25793,0,10535,18038,1,0
73967,1,2,2,34,1087,31325,7,4770,29396,3,504,32463,-1,622,50544,2,3738,26590,1,22585,27663,8,1
55781,2,1,1,27,16426,32946,2,7485,61731,1,1703,62654,1,13471,38610,0,447,50111,2,3033,11370,6,0
2574,1,6,2,21,839,24575,1,8192,55960,1,4471,14206,2,8173,26653,0,639,30945,1,2473,59956,0,0
11416,2,2,2,21,12226,62514,0,1643,31754,0,5186,31007,2,144,52475,2,4457,35689,3,704,7274,2,0
3193,2,3,1,33,2797,56299,1,3896,34680,2,6234,18329,4,4327,67129,0,1893,37888,3,1333,48166,0,1
101172,1,2,1,30,2372,22461,-1,659,59556,0,1647,16193,0,608,7536,3,2990,24496,0,753,86517,0,0
37739,2,3,1,28,1315,21956,8,9226,2890,-1,5252,30536,2,760,26369,1,3983,29640,3,2126,48030,6,1
71043,2,5,1,48,5049,59050,3,9336,31161,0,626,22848,3,1069,50238,0,4258,39645,1,6878,20619,-1,0
238126,2,2,2,26,5784,47663,2,1779,52408,0,50,34521,6,2522,15343,4,4368,39690,-1,110,31637,-1,0
28673,2,3,1,49,3151,55167,1,875,33837,1,5931,52776,0,10452,36902,0,363,50540,0,10258,9808,1,0
52828,1,2,2,51,286,22344,1,363,42697,-1,6287,24982,0,157,65414,2,6744,51425,3,6412,22101,1,0
140874,2,3,2,21,12536,2445,0,4278,-823,3,4866,10636,0,5843,52453,2,1737,64373,0,2299,25707,0,0
25980,2,2,2,35,19643,22500,0,479,22910,5,1497,52829,1,16698,50420,-1,607,9872,-1,3726,23333,6,0
8010,1,2,2,31,2819,53755,1,5706,53589,0,13118,24848,1,5125,54946,2,539,58258,2,576,42739,-1,0
34214,2,2,1,21,4755,82221,-1,5667,24979,1,10424,76555,4,8453,46498,2,1352,33189,4,7547,-15615,2,0
17580,2,2,1,21,2991,31410,-1,4759,13950,1,3623,31820,7,11602,33255,5,4953,53165,0,7607,15147,0,0
265495,2,5,1,42,1942,85517,1,10460,61232,8,22613,37280,-1,6272,59297,2,3192,46788,1,2375,51476,0,0
165088,2,2,1,55,402,56596,5,2376,50313,-1,1773,-6081,2,5391,30483,1,566,28455,0,1510,81986,0,0
100349,1,2,3,44,3044,12139,5,11627,18229,2,3377,16765,0,90,36769,4,164,70402,0,4393,48615,0,0
205151,2,3,2,38,8529,44280,-1,188,42770,0,13150,-5582,4,3658,6882,0,124,55224,1,1948,23233,1,0
162796,1,2,1,34,85,57279,0,598,18881,1,3100,45881,0,3167,30444,4,2733,48414,-1,6089,56991,-1,0
20649,2,4,1,51,4362,-8509,1,2656,36950,0,3183,38364,8,3698,41572,3,7759,83801,0,6234,61873,3,0
223081,2,6,1,56,10633,52889,3,4506,43519,0,413,52602,1,2832,40528,2,4262,20514,0,19184,24954,0,0
77509,2,3,2,29,1226,63454,7,164,23830,0,1187,56148,0,11852,58476,0,8295,40501,2,2174,22800,1,0
164734,1,4,2,21,1012,47977,4,4190,54846,-1,859,59229,1,10992,31242,1,1923,51242,4,287,72254,-1,0
226424,2,3,2,21,7398,38765,2,1836,57947,0,4165,35499,0,671,32048,5,756,18659,0,10810,18399,1,0
38273,2,2,3,48,1472,36541,0,10908,45271,2,1917,41708,0,3805,29176,2,8122,26720,1,47,75058,2,0
11659,1,3,1,34,1065,35373,-1,3810,48279,2,400,51578,2,16039,44827,3,6506,59933,0,2966,51243,-1,0
25868,1,3,1,36,2373,16480,-1,4432,10943,1,3566,24105,2,4564,70926,0,4447,30072,8,1486,65686,4,0
55705,1,3,1,21,2492,26249,2,14558,67243,-1,5531,21239,6,8089,-6207,0,10935,57437,3,2641,60273,0,0
170382,1,4,1,27,10361,31668,-1,7223,38173,0,6669,70801,1,2336,30246,0,4980,27408,0,958,60923,0,0
197134,2,3,3,32,4817,42269,2,2883,21294,3,9085,3876,2,2368,32980,1,3730,80401,0,5611,17097,0,0
697,2,5,2,37,2604,28863,2,3239,42916,0,3288,50000,3,1970,-2632,1,3488,-6852,0,4123,54480,4,1
71487,2,4,2,31,3822,22617,-1,5219,54909,5,2476,46824,3,110,37518,4,4803,60172,3,2588,65388,0,0
54027,2,3,1,24,15391,55195,5,1116,50246,4,5761,17533,-1,12941,32933,0,3634,45017,1,5460,35199,0,0
25116,1,3,1,27,600,47412,1,464,18306,0,67,26643,0,2151,31222,1,1592,9386,2,435,238,2,0
12768,2,2,1,47,1164,29215,5,1864,55152,4,5019,32863,-1,2287,17932,1,15381,35539,1,9761,13778,0,0
41190,2,6,2,37,16420,50125,5,7534,38786,2,2601,44333,1,7126,38252,6,15857,1469,0,3028,8462,1,1
286312,2,3,2,41,15770,30936,0,1487,50024,2,3015,47033,4,3742,16671,3,912,47046,-1,4782,32340,8,1
39038,2,1,1,26,975,41261,0,700,23968,4,1756,39381,3,2247,23158,1,3781,28062,4,1619,12008,1,0
73145,1,2,2,21,783,59500,0,1236,60918,1,680,43767,3,10754,36011,2,7794,1003,-1,17890,27441,1,0
121408,2,3,2,29,2732,27925,3,5681,43654,2,2566,53189,0,8725,60431,2,281,43313,3,3001,80491,3,0
45197,2,1,1,26,254,16551,1,4758,63776,2,1842,52265,-1,18818,48206,-1,659,42896,0,1028,56859,-1,0
356779,2,1,2,38,5319,37097,5,5828,9302,3,16109,70686,0,5122,52277,2,3936,82138,4,865,52351,0,0
328200,1,3,1,67,403,12730,0,1942,11971,2,14371,60862,2,5857,79232,0,143,56560,1,1626,62673,2,0
29006,1,2,2,41,298,34451,2,11555,35199,-1,5162,40355,0,1961,48809,0,8948,-7749,0,7406,14290,5,0
68765,2,3,2,62,3319,34387,8,3005,69352,0,11701,52813,0,524,19063,1,10324,29432,2,1840,21142,2,0
35793,2,2,3,40,15825,-9273,2,3604,79256,6,6957,48476,0,559,28745,8,6664,62094,0,429,42065,1,1
33524,2,2,1,28,2782,50612,-1,14860,22231,0,2122,43288,-1,5191,22858,7,8639,7464,1,2962,26654,1,0
3758,1,3,1,38,2204,36346,1,19382,41060,1,4630,22628,0,601,37285,5,5569,24568,3,1205,32566,1,1
94049,2,3,1,52,30965,63637,0,5416,43103,0,1244,43245,7,11855,31772,-1,764,40036,-1,12686,52416,1,0
69851,2,2,1,53,3796,44310,-1,14485,54363,-1,5811,-1304,-1,6084,21147,4,151,29439,0,2333,58872,6,0
5285,2,2,2,29,2351,54712,0,3899,57699,0,229,61446,3,1282,58480,3,9422,71823,2,1892,50731,3,1
32662,1,3,3,37,2437,63800,0,1835,17712,0,8899,47006,8,1637,59910,1,6140,43662,2,2974,62985,0,0
238886,2,1,1,21,1084,37365,3,1892,41291,1,4376,36816,1,6188,43588,0,2541,40666,0,145,-13241,-1,0
27386,2,2,1,43,3589,39983,0,4092,-170,4,301,31585,6,8689,19961,3,7968,21665,8,3785,80323,2,1
15653,1,1,1,50,2888,8529,2,4644,56215,1,10269,53090,0,9145,42431,0,273,17951,2,21630,56337,2,0
67227,1,4,1,35,1579,64790,-1,2895,33227,2,10506,76750,8,4594,27763,2,1921,42080,0,2101,32871,3,0
424403,2,4,1,28,874,37086,-1,10760,15892,1,9580,47501,4,843,65715,2,2091,38396,0,13678,10467,0,0
27714,1,4,1,38,1864,19885,-1,2781,46650,4,7442,78044,4,8528,16086,1,553,15657,1,649,36487,2,0
111515,2,4,2,39,3553,54794,0,1597,32602,2,5664,55687,0,7842,53152,4,6768,44680,-1,4457,24065,2,0
143388,1,3,1,35,300,-3595,0,40,65229,-1,2528,23891,4,9019,52729,0,7514,41147,2,928,64219,0,0
27133,1,3,2,36,834,31414,2,17628,22148,1,732,49754,6,857,57928,1,4375,33835,-1,10567,53584,3,0
130274,2,3,2,33,14749,58166,8,8695,84459,3,1703,47801,3,5765,43925,3,2705,63850,2,6452,27092,1,1
45852,2,1,1,44,3913,31245,0,4779,57091,2,2131,23880,-1,16124,33397,2,4670,39752,3,10399,11994,1,0
100050,2,3,2,42,327,25641,-1,8875,65753,5,2216,31845,-1,1478,87862,1,11432,35239,5,5894,35046,-1,0
100383,1,4,2,25,5905,31676,0,8311,19423,0,4167,31448,0,6306,22458,0,2213,62623,0,5580,60071,1,0
76738,2,3,2,24,318,-198,4,13430,75769,8,1168,42004,2,1498,54362,0,2034,36981,2,3760,50917,4,1
9462,2,2,1,32,6713,54309,2,2439,15749,0,1051,34399,-1,1834,40368,2,4873,31970,8,3943,11936,0,1
180364,2,2,1,42,6930,37542,3,4046,35803,-1,6310,45373,7,3320,46857,-1,5754,16597,-1,7638,29491,8,1
38681,2,3,2,36,5264,34553,0,519,66093,1,37,48613,1,11266,46750,2,3060,41212,-1,4252,59600,3,0
20643,2,3,2,28,6587,34626,0,16807,50135,0,809,65353,0,197,18350,0,9815,58648,0,2835,37364,3,0
4162,1,4,1,37,460,40281,0,21041,15216,2,2854,50982,1,22849,13154,2,2171,31660,0,6147,38965,1,0
89377,2,2,1,31,6487,53068,4,7781,62708,5,807,25961,2,7393,14456,0,5121,13413,0,16617,77791,0,0
113185,2,4,1,43,734,38958,0,3026,46799,5,16071,82222,0,2229,31079,0,5510,60218,5,12017,18643,1,0
1672,1,3,1,38,2073,12767,2,3431,31675,2,5544,26090,0,2186,44964,3,1746,61005,2,1968,62475,2,1
71763,2,4,2,31,14301,51510,1,2857,9159,1,2834,32248,1,3298,26252,3,95,51699,-1,2446,31529,4,0
25682,2,3,1,37,3494,49971,1,1735,48695,8,595,51949,2,10416,11272,0,8761,41922,1,15789,32659,2,1
103612,2,3,1,48,17121,44110,0,3751,36731,1,2432,97905,2,90,58371,0,3292,48402,4,1325,43709,0,0
19160,2,3,2,29,465,61504,2,274,43126,5,5257,48031,0,3973,9227,1,501,8997,1,683,46334,0,0
117421,2,4,1,39,3246,40607,-1,24071,8295,5,17338,27168,0,288,49595,1,15798,28357,0,3235,52236,2,0
48895,1,6,2,34,322,62227,8,2758,31626,0,3199,7213,1,614,24971,2,1757,53511,7,2952,36821,-1,1
276034,1,1,2,39,4974,68144,-1,13111,49606,-1,5894,5883,1,5866,64351,-1,3216,46766,0,3968,53517,0,0
14794,1,1,1,28,409,51646,-1,6441,77529,1,1086,40219,2,1334,29487,0,3308,58050,0,162,42734,0,0
41713,2,5,2,36,964,25041,0,1712,35894,4,4885,50894,2,212,4788,0,2316,70677,0,1155,29012,4,0
12044,1,3,2,46,1497,37384,3,1255,68865,3,1365,11603,0,897,39208,0,821,15297,0,8113,15143,2,0
258619,2,3,1,25,6906,64777,0,27217,55746,2,1104,44439,0,1169,23192,-1,6091,49671,2,2234,52670,0,0
209833,2,3,1,21,895,10047,1,7394,44675,0,3558,13728,0,7343,56216,5,1087,34832,0,12417,46109,1,0
29832,2,1,2,22,9374,32160,-1,1436,19753,0,1189,21511,2,4903,46594,0,5733,31070,1,4206,26740,3,0
107876,1,4,3,23,707,33140,-1,349,20590,7,6388,52634,1,6642,27418,-1,8100,89437,0,107,11664,0,0
169948,1,4,2,40,179,22695,2,5968,52350,1,13849,25047,0,2308,19946,1,117,8595,1,19121,28276,1,0
81013,1,2,1,21,2513,57457,0,1804,29470,2,2501,66201,-1,600,18048,6,6579,36360,6,1906,893,3,1
75427,2,2,2,32,19422,47536,2,1250,27692,5,1946,28312,-1,8181,28281,7,5081,35274,0,2301,59504,0,0
27687,1,4,1,41,584,25778,3,6638,36387,4,967,62188,4,756,67274,2,1089,40953,3,12075,37796,5,1
9772,2,1,2,39,536,52110,4,5685,36723,1,2474,85304,1,2411,37124,0,4840,551,0,10519,45267,1,0
227512,1,4,2,31,6954,36831,0,3283,58015,1,4100,25086,2,1520,58940,-1,2730,20377,0,5776,31908,2,0
230677,1,2,2,36,1871,22196,1,14293,29890,2,2333,89320,5,1758,10382,0,441,40976,-1,51,75409,0,0
100266,2,3,2,36,6316,25741,6,5691,56024,0,4878,40269,0,4604,1580,0,3708,12093,8,17,54019,3,1
41404,2,5,2,32,1115,48721,3,11194,48794,2,5429,27348,1,897,21091,3,18112,59069,1,981,32588,1,0
42956,1,3,2,32,3081,58780,0,1057,6520,-1,514,34079,1,2951,53141,7,5232,51592,1,7188,33151,5,0
129446,1,3,1,57,1541,30264,1,1759,45890,3,5983,31931,3,5090,34222,-1,2006,8255,-1,9007,27500,1,0
227409,1,3,2,43,3003,50888,5,551,-13355,8,11528,68035,8,10159,57793,0,4144,35392,1,1273,37034,2,1
218113,2,2,3,59,7328,71635,1,1816,22095,7,133,66356,2,2319,65276,5,6693,47510,2,409,47701,1,1
151356,2,2,1,30,7177,14822,3,17838,49261,0,4007,66119,2,1918,20855,2,849,12484,1,2782,46983,1,0
102731,1,6,1,34,3626,47113,1,16464,39787,1,4630,14011,5,2293,56686,4,3762,8450,0,13218,34605,2,0
8789,1,4,1,21,13181,56613,0,7143,4642,0,6186,43786,3,3473,67760,5,3534,20849,0,3716,69005,0,0
17629,2,3,2,26,1531,38097,0,3680,17616,0,2436,9006,4,1877,60670,1,2362,93749,2,6601,-195,2,0
228823,1,2,2,54,1374,64765,-1,7588,-12178,1,8538,60221,-1,1441,8121,2,6873,61886,1,6164,28267,1,0
93249,2,1,1,29,4757,83976,0,4031,13148,2,3881,30326,1,2352,2901,2,4162,27828,1,9626,53777,1,0
923,2,1,2,54,4855,46867,4,17,51581,-1,2629,50061,3,7521,31027,2,6001,13378,-1,20742,68155,1,1
10699,2,3,1,22,238,35328,2,3481,28851,0,6351,29962,0,1457,31784,0,4531,23493,1,19635,43934,0,0
108916,2,4,2,24,4679,59539,2,4568,43398,1,13112,4882,3,9309,56857,3,7592,70447,1,3883,69941,-1,0
507,2,3,1,31,2345,56841,2,1544,40272,0,8356,57703,-1,1678,20647,3,5024,80675,4,2028,74228,0,1
17531,2,4,1,34,6880,-10376,0,1136,40651,-1,13344,59247,1,4620,48314,1,5662,23762,0,7759,32867,1,0
79569,1,1,1,44,8254,39945,0,1599,60462,1,1545,42787,4,17698,18335,1,1277,46221,2,6062,23136,0,0
117731,2,2,1,39,4016,32108,5,4885,35941,2,630,-2228,1,15161,46901,-1,9349,34755,6,7655,22733,0,0
105544,2,2,2,30,8,47934,1,789,58213,2,3821,55007,2,2851,30858,3,844,65406,1,1783,11470,2,0
25394,1,3,2,33,5058,36126,1,6370,-9546,0,227,25248,1,349,47170,0,2076,18121,-1,4374,15426,2,0
124541,2,1,1,31,6909,38296,8,2746,62228,0,5613,50331,2,11646,32723,1,11009,59579,0,1024,21051,5,1
27082,1,6,1,25,1431,22735,0,2179,14198,0,1372,30187,1,678,-4148,1,574,13197,7,1239,16673,3,0
39363,2,2,1,26,3124,54690,4,8231,18541,-1,3028,32240,1,12855,50179,2,10074,58955,1,2304,60508,3,0
137235,1,5,2,45,16866,73100,4,3526,25907,0,5329,49952,3,6595,63400,0,3225,22985,0,6198,31072,3,0
104877,1,3,2,21,1769,23046,0,2377,61677,3,3299,23581,-1,13608,23283,0,1014,33711,1,1815,12231,4,0
189195,2,6,1,51,1262,12058,-1,10525,22214,-1,1346,36666,1,5473,56190,4,6681,27091,7,1991,32225,1,0
107181,2,3,2,31,1184,40400,8,2296,26882,-1,10616,50191,0,26605,27732,0,1669,79222,-1,8025,45007,-1,0
84004,2,5,1,27,4091,39426,1,9794,20766,0,7230,83328,1,3146,13001,-1,5664,59879,1,12227,34777,1,0
9835,2,1,3,42,14957,63418,-1,3507,45107,1,4594,38510,7,1999,27773,0,7824,31772,0,9162,35657,3,1
45841,1,4,3,49,4691,15416,1,1166,54872,0,5995,56789,-1,2498,36323,1,4212,23504,1,1021,3426,-1,0
